Model,Scenario,Strategy,Frame,Overlap,Accuracy
CNN1D,I (Environment),1 (Seen),500,40%,88.8
CNN1D,I (Environment),2 (Unseen),500,40%,0.0
ResNet1D,I (Environment),1 (Seen),500,40%,90.2
ResNet1D,I (Environment),2 (Unseen),500,40%,0.0
CNN1D,I (Environment),1 (Seen),500,50%,84.3
CNN1D,I (Environment),2 (Unseen),500,50%,0.0
ResNet1D,I (Environment),1 (Seen),500,50%,93.7
ResNet1D,I (Environment),2 (Unseen),500,50%,0.0
CNN1D,I (Environment),1 (Seen),1000,40%,92.0
CNN1D,I (Environment),2 (Unseen),1000,40%,0.0
ResNet1D,I (Environment),1 (Seen),1000,40%,93.8
ResNet1D,I (Environment),2 (Unseen),1000,40%,0.0
CNN1D,I (Environment),1 (Seen),1000,50%,94.0
CNN1D,I (Environment),2 (Unseen),1000,50%,0.0
ResNet1D,I (Environment),1 (Seen),1000,50%,95.5
ResNet1D,I (Environment),2 (Unseen),1000,50%,0.0
CNN1D,II (Node),1 (Seen),500,40%,83.8
CNN1D,II (Node),2 (Unseen),500,40%,19.2
ResNet1D,II (Node),1 (Seen),500,40%,90.5
ResNet1D,II (Node),2 (Unseen),500,40%,20.9
CNN1D,II (Node),1 (Seen),500,50%,82.5
CNN1D,II (Node),2 (Unseen),500,50%,19.2
ResNet1D,II (Node),1 (Seen),500,50%,94.7
ResNet1D,II (Node),2 (Unseen),500,50%,22.6
CNN1D,II (Node),1 (Seen),1000,40%,78.0
CNN1D,II (Node),2 (Unseen),1000,40%,17.9
ResNet1D,II (Node),1 (Seen),1000,40%,87.2
ResNet1D,II (Node),2 (Unseen),1000,40%,20.5
CNN1D,II (Node),1 (Seen),1000,50%,92.2
CNN1D,II (Node),2 (Unseen),1000,50%,17.6
ResNet1D,II (Node),1 (Seen),1000,50%,96.9
ResNet1D,II (Node),2 (Unseen),1000,50%,22.5
